distance	Beta	var
285.78	0.455	Banura
286.36	0.455	Banura
245.37	0.304	Banura
245.35	0.478	Banura
296.99	0.556	Banura
296.84	0.538	Banura
15.25	0.455	Banura
647.06	0.538	Banura
640.45	0.538	Banura
452.78	0.7	Banura
443.3	0.7	Banura
452.95	0.684	Banura
284.22	0.375	Banura
285.22	0.375	Banura
239.49	0.412	Banura
239.45	0.529	Banura
288.54	0.7	Banura
288.65	0.7	Banura
638.65	0.474	Banura
631.9	0.474	Banura
439.71	0.538	Banura
430.21	0.769	Banura
440.05	0.68	Banura
287.74	0.455	Banura
288.42	0.545	Banura
247.41	0.478	Banura
247.36	0.478	Banura
298.47	0.407	Banura
298.55	0.615	Banura
6.82	0.2	Banura
317.04	0.529	Banura
321.36	0.647	Banura
313.31	0.625	Banura
488.02	0.385	Banura
487.15	0.538	Banura
575.9	0.429	Banura
575.63	0.571	Banura
642.37	0.556	Banura
647.09	0.647	Banura
311.14	0.529	Banura
315.73	0.647	Banura
307.77	0.625	Banura
482.68	0.385	Banura
481.64	0.538	Banura
570.31	0.429	Banura
569.99	0.429	Banura
636.95	0.444	Banura
641.69	0.529	Banura
9.45	0.333	Banura
3.99	0.304	Banura
452.48	0.5	Banura
451.88	0.7	Banura
509.12	0.524	Banura
508.84	0.619	Banura
589.22	0.6	Banura
592.79	0.5	Banura
10.82	0.304	Banura
445.07	0.5	Banura
444.78	0.6	Banura
500.88	0.619	Banura
500.6	0.81	Banura
580.85	0.76	Banura
584.24	0.667	Banura
1.11	0.25	Banura
91.03	0.294	Banura
90.67	0.412	Banura
154.98	0.429	Banura
159.55	0.6	Banura
92.13	0.294	Banura
91.84	0.294	Banura
156.01	0.524	Banura
160.7	0.6	Banura
0.32	0.333	Banura
80.2	0.455	Banura
83.57	0.429	Banura
80.37	0.273	Banura
84.13	0.429	Banura
4.85	0.36	Banura
197.32	0.96969697	Bint
190.97	0.921309873	Bint
301.03	1	Bint
341.69	0.984848485	Bint
347.47	0.893939394	Bint
342.96	0.907014305	Bint
319.37	0.903007053	Bint
313.28	0.909090909	Bint
294.53	0.909090909	Bint
289.36	0.938461538	Bint
291.41	1	Bint
180.41	1	Bint
179.44	0.981203008	Bint
261.42	0.949796938	Bint
291.33	0.839725379	Bint
334.27	0.898550725	Bint
338.55	0.869617225	Bint
352.22	0.961226438	Bint
352.21	0.833099579	Bint
106.1	0.816304348	Bint
499.78	0.786086957	Bint
502.6	0.829244596	Bint
501.07	0.92893401	Bint
300.54	0.94629156	Bint
297.21	0.782608696	Bint
432.87	0.782608696	Bint
430.24	0.976923077	Bint
429.17	1	Bint
249.02	1	Bint
247.96	0.936090226	Bint
338.16	0.954639175	Bint
337.91	0.74388587	Bint
384.4	0.898550725	Bint
389.27	0.83409611	Bint
0.82	0.850051352	Bint
451.96	0.833099579	Bint
148.13	0.887419355	Bint
152.06	0.835555956	Bint
149.59	0.923352983	Bint
506.4	0.950622886	Bint
499.93	0.85483871	Bint
365.82	0.85483871	Bint
356.81	0.884243176	Bint
364.74	1	Bint
159.47	1	Bint
159.65	0.895525103	Bint
163.32	0.898852677	Bint
163.12	0.761844758	Bint
239.67	0.845371669	Bint
242.21	0.778225806	Bint
596.85	0.817373635	Bint
598.57	0.893854749	Bint
598.45	0.974619289	Bint
341.19	0.992327366	Bint
340.12	0.96	Bint
528.21	0.96	Bint
526.31	0.938461538	Bint
524.48	1	Bint
328.73	1	Bint
327.68	0.932330827	Bint
411.5	0.989690722	Bint
411.24	0.890625	Bint
443.08	0.967391304	Bint
447.66	0.795526316	Bint
14.15	0.881259843	Bint
1.91	0.704562856	Bint
637.87	0.705539442	Bint
631.25	0.865921788	Bint
439.81	0.865921788	Bint
430.8	0.927288354	Bint
440.1	1	Bint
285.78	1	Bint
286.36	0.783635065	Bint
245.37	0.886597938	Bint
245.35	0.69963338	Bint
296.99	0.767792082	Bint
296.84	0.757681564	Bint
15.25	0.880878019	Bint
647.06	0.344822811	Bint
640.45	0.913705584	Bint
452.78	0.913705584	Bint
443.3	0.931849538	Bint
452.95	1	Bint
284.22	1	Bint
285.22	0.87535463	Bint
239.49	0.849339753	Bint
239.45	0.802030457	Bint
288.54	0.847237549	Bint
288.65	0.824973283	Bint
638.65	0.810237553	Bint
631.9	0.915601023	Bint
439.71	0.915601023	Bint
430.21	0.930808578	Bint
440.05	1	Bint
287.74	1	Bint
288.42	0.932301983	Bint
247.41	0.897758853	Bint
247.36	0.846407449	Bint
298.47	0.845268542	Bint
298.55	0.814729439	Bint
6.82	0.849044445	Bint
317.04	0	Bint
321.36	0.961538462	Bint
313.31	1	Bint
488.02	1	Bint
487.15	0.992481203	Bint
575.9	0.95257732	Bint
575.63	0.7578125	Bint
642.37	0.844202899	Bint
647.09	0.847807018	Bint
311.14	0.968503937	Bint
315.73	0.961538462	Bint
307.77	1	Bint
482.68	1	Bint
481.64	0.992481203	Bint
570.31	0.95257732	Bint
569.99	0.7578125	Bint
636.95	0.844202899	Bint
641.69	0.847807018	Bint
9.45	0.968503937	Bint
3.99	1	Bint
452.48	1	Bint
451.88	0.941208791	Bint
509.12	0.972164948	Bint
508.84	0.884495192	Bint
589.22	0.689130435	Bint
592.79	0.8298583	Bint
10.82	0.89158086	Bint
445.07	0.698062593	Bint
444.78	1	Bint
500.88	1	Bint
500.6	1	Bint
580.85	1	Bint
584.24	1	Bint
1.11	1	Bint
91.03	0.631633207	Bint
90.67	0.645735432	Bint
154.98	0.92737278	Bint
159.55	0.855263158	Bint
92.13	0.788615239	Bint
91.84	0.624935567	Bint
156.01	0.89893919	Bint
160.7	0.884481823	Bint
0.32	0.893424791	Bint
80.2	0.677309783	Bint
83.57	0.638157895	Bint
80.37	0.780327264	Bint
84.13	0.712051869	Bint
4.85	0.85430218	Bint
197.32	0.7737557	Brw
